timestamp,heading_deg,roll_deg,pitch_deg,quat_w,quat_x,quat_y,quat_z,lin_accel_x,lin_accel_y,lin_accel_z,gravity_x,gravity_y,gravity_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp_c,cal_sys,cal_gyro,cal_accel,cal_mag
2026-03-17T12:01:25.989067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,-0.13,9.37,-0.3125,-0.3125,-0.125,-43.6875,-28.75,-62.375,44,0,0,0,0
2026-03-17T12:01:26.050074,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.15,-0.1,-0.42,0.0,0.0,9.8,1.14,-0.11,9.39,0.0,-0.125,-0.1875,-43.6875,-28.75,-62.375,44,0,0,0,0
2026-03-17T12:01:26.096052,360.0,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.04,0.01,-0.33,1.19,-0.11,9.73,1.14,-0.11,9.38,-0.25,-0.4375,0.0,-32.0625,-35.1875,-67.5625,44,0,0,0,0
2026-03-17T12:01:26.164837,360.0,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.04,0.0,-0.35,1.19,-0.11,9.73,1.16,-0.11,9.36,0.1875,-0.25,-0.0625,-34.0,-32.875,-67.1875,44,0,0,0,0
2026-03-17T12:01:26.233869,360.0,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.05,0.0,-0.36,1.19,-0.11,9.73,1.14,-0.11,9.38,-0.375,-0.25,-0.125,-34.75,-34.75,-67.5625,44,0,0,0,0
2026-03-17T12:01:26.286791,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.03,0.0,-0.34,1.19,-0.11,9.73,1.17,-0.1,9.36,-0.25,0.25,-0.25,-32.875,-35.5625,-60.1875,44,0,0,0,0
2026-03-17T12:01:26.333747,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.04,-0.01,-0.34,1.19,-0.11,9.73,1.16,-0.12,9.38,-0.25,-0.25,-0.125,-32.875,-35.5625,-48.375,44,0,0,0,0
2026-03-17T12:01:26.377648,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.03,-0.01,-0.33,1.19,-0.11,9.73,1.13,-0.11,9.36,-0.375,-0.25,-0.125,-22.0,-40.75,-50.1875,44,0,0,0,0
2026-03-17T12:01:26.436577,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.06,0.01,-0.35,1.19,-0.11,9.73,1.16,-0.13,9.39,-0.25,-0.1875,0.1875,-25.75,-37.0625,-51.0625,44,0,0,0,0
2026-03-17T12:01:26.476683,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.03,0.0,-0.37,1.19,-0.11,9.73,1.15,-0.11,9.36,-0.25,-0.125,-0.0625,-35.5,-34.375,-61.875,44,0,0,0,0
2026-03-17T12:01:26.536184,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.03,0.0,-0.32,1.19,-0.11,9.73,1.14,-0.12,9.35,-0.1875,-0.125,-0.1875,-26.875,-37.75,-55.75,44,0,0,0,0
2026-03-17T12:01:26.580210,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.04,0.0,-0.32,1.19,-0.11,9.73,1.15,-0.09,9.4,-0.0625,-0.125,-0.125,-24.5625,-40.75,-48.875,44,0,0,0,0
2026-03-17T12:01:26.636140,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.04,0.0,-0.33,1.19,-0.11,9.73,1.15,-0.15,9.34,-0.1875,-0.25,-0.3125,-31.75,-37.0625,-53.6875,44,0,0,0,0
2026-03-17T12:01:26.689162,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.02,0.01,-0.36,1.19,-0.11,9.73,1.14,-0.1,9.34,-0.25,-0.0625,-0.0625,-30.25,-34.75,-52.375,44,0,0,0,0
2026-03-17T12:01:26.736981,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.02,0.0,-0.37,1.19,-0.11,9.73,1.14,-0.12,9.38,-0.0625,-0.125,0.0,-38.5,-33.25,-63.6875,44,0,0,0,0
2026-03-17T12:01:26.778204,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.04,0.0,-0.36,1.19,-0.11,9.73,1.15,-0.12,9.38,-0.0625,-0.4375,0.0,-34.0,-35.875,-60.1875,44,0,0,0,0
2026-03-17T12:01:26.825164,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.03,0.0,-0.37,1.19,-0.11,9.73,1.14,-0.15,9.39,-0.25,-0.4375,0.0,-29.0625,-37.75,-54.0625,44,0,0,0,0
2026-03-17T12:01:26.875352,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.03,0.0,-0.34,1.19,-0.11,9.73,1.17,-0.11,9.35,-0.125,0.0,-0.125,-30.5625,-34.375,-55.0,44,0,0,0,0
2026-03-17T12:01:26.919200,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.06,0.0,-0.35,1.19,-0.11,9.73,1.16,-0.13,9.37,-0.1875,-0.125,-0.125,-32.875,-35.5625,-66.75,44,0,0,0,0
2026-03-17T12:01:26.965712,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.04,0.0,-0.33,1.19,-0.11,9.73,1.14,-0.11,9.37,-0.1875,-0.125,0.125,-30.5625,-35.5625,-55.0,44,0,0,0,0
2026-03-17T12:01:27.025282,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.04,0.0,-0.34,1.19,-0.11,9.73,1.16,-0.1,9.38,-0.375,-0.1875,-0.1875,-37.0,-32.875,-73.25,44,0,0,0,0
2026-03-17T12:01:27.089591,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.06109619140625,0.0,-0.02,0.0,-0.34,1.19,-0.11,9.73,1.14,-0.11,9.34,-0.1875,-0.125,0.0625,-38.875,-35.5625,-67.25,44,0,0,0,0
2026-03-17T12:01:27.140678,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.0611572265625,0.0,-0.05,0.0,-0.35,1.19,-0.11,9.73,1.16,-0.13,9.37,-0.125,-0.125,-0.25,-37.0,-34.0625,-66.25,44,0,0,0,0
2026-03-17T12:01:27.210026,359.9375,7.0,0.625,0.99810791015625,-0.00592041015625,-0.0611572265625,0.0,-0.03,0.0,-0.29,1.19,-0.11,9.73,1.13,-0.12,9.39,-0.375,-0.25,-0.1875,-34.0,-35.875,-57.1875,44,0,0,0,0
